,make,model,year,transmission,fuel_type,mileage,price,platform
5500,FORD,Ranger,2019,AUTOMATIC,Gasoline,19000.0,908000,philkotse
5501,NISSAN,Urvan NV350,2020,MANUAL,Gasoline,16000.0,898000,philkotse
5502,FORD,Explorer,2013,AUTOMATIC,Gasoline,50000.0,699000,philkotse
5503,HYUNDAI,H-100,2020,MANUAL,Diesel,16000.0,758000,philkotse
5504,MAZDA,CX-5,2013,AUTOMATIC,Gasoline,89000.0,159000,philkotse
5505,SUBARU,Forester,2016,AUTOMATIC,Gasoline,72000.0,260400,philkotse
5506,HYUNDAI,Tucson,2016,AUTOMATIC,Gasoline,36000.0,668000,philkotse
5507,HONDA,City,2011,AUTOMATIC,Gasoline,73000.0,370000,philkotse
5508,TOYOTA,Hilux,2021,AUTOMATIC,Diesel,20000.0,1738000,philkotse
5509,SUBARU,XV,2012,AUTOMATIC,Gasoline,74000.0,538000,philkotse
5510,TOYOTA,Innova,2011,AUTOMATIC,Diesel,69000.0,499000,philkotse
5511,CHEVROLET,Trailblazer,2015,MANUAL,Diesel,86000.0,680000,philkotse
5512,ISUZU,mu-X,2017,AUTOMATIC,Gasoline,55472.0,888000,philkotse
5513,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,64000.0,698000,philkotse
5514,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,78000.0,758000,philkotse
5515,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,78000.0,227000,philkotse
5516,FORD,Explorer,2016,AUTOMATIC,Diesel,35144.0,1298000,philkotse
5517,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,58123.0,678000,philkotse
