,make,model,year,transmission,fuel_type,mileage,price,platform
0,HONDA,City,2014,AUTOMATIC,Gasoline,50000.0,510000,autodeal
1,TOYOTA,Hiace,2018,AUTOMATIC,Diesel,40000.0,1380000,autodeal
2,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,0.0,748000,autodeal
3,HYUNDAI,H-100,2020,MANUAL,Diesel,29000.0,758000,autodeal
4,TOYOTA,Innova,2018,MANUAL,Diesel,48000.0,799000,autodeal
5,MAZDA,6 Sport Wagon,2018,AUTOMATIC,Gasoline,20000.0,1090000,autodeal
6,NISSAN,Sentra,2012,AUTOMATIC,Gasoline,60000.0,239000,autodeal
7,MAZDA,CX-5,2013,AUTOMATIC,Gasoline,50000.0,570000,autodeal
8,HYUNDAI,H-100,2020,MANUAL,Diesel,36000.0,758000,autodeal
9,TOYOTA,Hilux,2013,MANUAL,Diesel,71000.0,718000,autodeal
10,FORD,Everest,2016,AUTOMATIC,Diesel,70000.0,920000,autodeal
11,MITSUBISHI,Montero Sport,2014,AUTOMATIC,Diesel,60000.0,710000,autodeal
12,SUZUKI,Ertiga,2015,AUTOMATIC,Gasoline,60000.0,520000,autodeal
13,MITSUBISHI,Strada,2017,MANUAL,Diesel,66000.0,728000,autodeal
14,CADILLAC,DeVille V8,1994,AUTOMATIC,Gasoline,100000.0,178000,autodeal
15,CHEVROLET,Trailblazer,2016,AUTOMATIC,Diesel,50000.0,760000,autodeal
16,MITSUBISHI,Lancer,1997,MANUAL,Gasoline,120000.0,88000,autodeal
17,FORD,Everest,2016,AUTOMATIC,Diesel,60000.0,920000,autodeal
18,NISSAN,Sylphy,2018,CVT,Gasoline,6060.0,840000,autodeal
19,FORD,Focus Sedan,2013,AUTOMATIC,Gasoline,80000.0,350000,autodeal
20,TOYOTA,Fortuner,2014,AUTOMATIC,Diesel,70000.0,850000,autodeal
21,FORD,Everest,2015,AUTOMATIC,Diesel,58426.0,808000,autodeal
22,HYUNDAI,Santa Fe,2013,AUTOMATIC,Diesel,79018.0,729900,autodeal
23,HONDA,City,2017,CVT,Gasoline,40000.0,530000,autodeal
24,MITSUBISHI,Mirage G4,2015,MANUAL,Gasoline,60000.0,330000,autodeal
25,NISSAN,Sylphy,2018,CVT,Gasoline,26000.0,755000,autodeal
26,CHEVROLET,Trailblazer,2018,AUTOMATIC,Diesel,54000.0,879000,autodeal
27,MITSUBISHI,Adventure,2015,MANUAL,Diesel,82000.0,419000,autodeal
28,HYUNDAI,Accent,2015,AUTOMATIC,Gasoline,76000.0,349000,autodeal
29,MINI,Cooper,2017,AUTOMATIC,Gasoline,26000.0,2000000,autodeal
30,HYUNDAI,Grand Starex,2010,AUTOMATIC,Diesel,101030.0,640500,autodeal
31,MITSUBISHI,L200,2012,MANUAL,Diesel,90000.0,485000,autodeal
32,SUZUKI,Ertiga,2015,AUTOMATIC,Gasoline,40000.0,490000,autodeal
33,TOYOTA,Land Cruiser,2017,AUTOMATIC,Diesel,26000.0,5700000,autodeal
34,DODGE,Durango,2015,AUTOMATIC,Gasoline,28000.0,1600000,autodeal
35,TOYOTA,Vios,2017,MANUAL,Gasoline,43000.0,399000,autodeal
36,FORD,Fiesta Sedan,2014,AUTOMATIC,Gasoline,59000.0,309000,autodeal
37,MAZDA,CX-5,2016,AUTOMATIC,Diesel,55000.0,669000,autodeal
38,HONDA,CR-V,2019,AUTOMATIC,Gasoline,37000.0,1109000,autodeal
39,MAZDA,2 Sedan,2016,AUTOMATIC,Gasoline,58000.0,469000,autodeal
40,HONDA,FN2,2009,MANUAL,Gasoline,24000.0,2800000,autodeal
41,HONDA,City,2017,AUTOMATIC,Gasoline,28000.0,588000,autodeal
42,ISUZU,Sportivo,2015,MANUAL,Diesel,0.0,588000,autodeal
43,TOYOTA,Avanza,2018,MANUAL,Gasoline,54000.0,539000,autodeal
44,LEXUS,LS,2003,AUTOMATIC,Gasoline,39000.0,600000,autodeal
45,MITSUBISHI,Mirage G4,2019,MANUAL,Gasoline,24000.0,438000,autodeal
46,HONDA,Civic,2011,AUTOMATIC,Gasoline,0.0,398000,autodeal
47,MITSUBISHI,Adventure,2017,MANUAL,Diesel,0.0,588000,autodeal
48,TOYOTA,Innova,2018,AUTOMATIC,Diesel,43000.0,1028000,autodeal
49,FORD,Ranger,2014,AUTOMATIC,Diesel,59000.0,698000,autodeal
50,MITSUBISHI,Mirage G4,2017,AUTOMATIC,Gasoline,53000.0,408000,autodeal
51,MITSUBISHI,Adventure,2017,MANUAL,Diesel,0.0,608000,autodeal
52,MITSUBISHI,Strada,2017,MANUAL,Diesel,0.0,778000,autodeal
53,MITSUBISHI,L300,2014,MANUAL,Diesel,0.0,458000,autodeal
54,MITSUBISHI,Montero Sport,2016,AUTOMATIC,Diesel,61000.0,998000,autodeal
55,LAMBORGHINI,Gallardo,2011,AUTOMATIC,Gasoline,7000.0,14000000,autodeal
56,MITSUBISHI,L300,2017,MANUAL,Diesel,66000.0,628000,autodeal
57,HONDA,Jazz,2012,AUTOMATIC,Gasoline,92000.0,438000,autodeal
58,TOYOTA,Innova,2018,MANUAL,Diesel,48000.0,809000,autodeal
59,MITSUBISHI,Adventure,2017,MANUAL,Diesel,0.0,568000,autodeal
60,MITSUBISHI,L300,2017,MANUAL,Diesel,29000.0,668000,autodeal
61,MITSUBISHI,Mirage,2014,AUTOMATIC,Gasoline,40000.0,368000,autodeal
62,MITSUBISHI,Strada,2019,MANUAL,Diesel,38000.0,779000,autodeal
63,FORD,EcoSport,2016,AUTOMATIC,Gasoline,53000.0,449000,autodeal
64,NISSAN,Juke,2018,AUTOMATIC,Gasoline,43000.0,619000,autodeal
65,HONDA,BR-V,2018,AUTOMATIC,Gasoline,54000.0,699000,autodeal
66,MERCEDES-BENZ,E63,2011,AUTOMATIC,Gasoline,14000.0,4000000,autodeal
67,MERCEDES-BENZ,CLK,2009,AUTOMATIC,Gasoline,36000.0,8500000,autodeal
68,FORD,Everest,2016,AUTOMATIC,Diesel,42000.0,1008000,autodeal
69,FORD,Ranger,2018,AUTOMATIC,Diesel,0.0,988000,autodeal
70,HYUNDAI,Tucson,2017,AUTOMATIC,Diesel,56000.0,629000,autodeal
71,TOYOTA,Hilux,2019,AUTOMATIC,Diesel,31000.0,1249000,autodeal
72,CHEVROLET,Sail,2017,AUTOMATIC,Gasoline,0.0,379000,autodeal
73,TOYOTA,Innova,2014,MANUAL,Gasoline,57000.0,449000,autodeal
74,ISUZU,Crosswind,2006,AUTOMATIC,Diesel,95000.0,368000,autodeal
75,SUBARU,Forester,2013,AUTOMATIC,Gasoline,82000.0,518000,autodeal
76,MAZDA,2 Sedan,2019,AUTOMATIC,Gasoline,39000.0,568000,autodeal
77,FORD,Ranger,2016,AUTOMATIC,Diesel,0.0,978000,autodeal
78,TOYOTA,Hilux,2011,MANUAL,Diesel,83000.0,588000,autodeal
79,MAZDA,CX-5,2012,AUTOMATIC,Gasoline,79000.0,528000,autodeal
80,HONDA,Accord,2008,AUTOMATIC,Gasoline,0.0,358000,autodeal
81,FORD,Explorer,2014,AUTOMATIC,Gasoline,0.0,888000,autodeal
82,MITSUBISHI,Mirage,2013,AUTOMATIC,Gasoline,33000.0,328000,autodeal
83,SUBARU,Legacy,2015,CVT,Gasoline,33000.0,770250,autodeal
84,TOYOTA,Vios,2012,AUTOMATIC,Gasoline,0.0,388000,autodeal
85,NISSAN,Navara,2022,AUTOMATIC,Diesel,0.0,1358000,autodeal
86,MAZDA,3 Sedan,2016,AUTOMATIC,Gasoline,25000.0,648000,autodeal
87,TOYOTA,Innova,2012,AUTOMATIC,Diesel,0.0,558000,autodeal
88,FORD,Fiesta Sedan,2015,AUTOMATIC,Gasoline,0.0,358000,autodeal
89,TOYOTA,Innova,2007,MANUAL,Diesel,98000.0,388000,autodeal
90,MITSUBISHI,L300,2012,MANUAL,Diesel,0.0,388000,autodeal
91,SUBARU,Forester,2014,AUTOMATIC,Gasoline,78000.0,638000,autodeal
92,TOYOTA,Coaster,2012,MANUAL,Diesel,6000.0,2400000,autodeal
93,MITSUBISHI,Pajero,2019,AUTOMATIC,Diesel,0.0,1500000,autodeal
94,FORD,Ranger,2019,AUTOMATIC,Diesel,37000.0,1108000,autodeal
95,NISSAN,Almera,2018,AUTOMATIC,Gasoline,18000.0,418000,autodeal
96,SUBARU,Forester,2017,AUTOMATIC,Gasoline,57000.0,958000,autodeal
97,PORSCHE,911,2014,AUTOMATIC,Gasoline,10000.0,14500000,autodeal
98,FORD,Explorer,2013,AUTOMATIC,Gasoline,0.0,818000,autodeal
99,MASERATI,Levante,2017,AUTOMATIC,Diesel,21000.0,4800000,autodeal
100,TOYOTA,Land Cruiser,2008,AUTOMATIC,Diesel,106000.0,6500000,autodeal
101,TOYOTA,Land Cruiser,2022,AUTOMATIC,Diesel,6000.0,13500000,autodeal
102,MINI,Cooper,2008,MANUAL,Gasoline,14000.0,3500000,autodeal
103,SUZUKI,Ertiga,2020,MANUAL,Gasoline,30000.0,658000,autodeal
104,HYUNDAI,Veloster,2016,AUTOMATIC,Gasoline,45000.0,750000,autodeal
105,MITSUBISHI,Evolution X,2008,AUTOMATIC,Gasoline,16000.0,3200000,autodeal
106,FORD,Ranger,2015,MANUAL,Diesel,40000.0,698000,autodeal
107,HONDA,CR-V,2010,MANUAL,Gasoline,0.0,398000,autodeal
108,NISSAN,Urvan,2015,MANUAL,Diesel,41000.0,768000,autodeal
109,SUBARU,Forester,2014,AUTOMATIC,Gasoline,61000.0,708000,autodeal
110,HONDA,Odyssey,2001,AUTOMATIC,Gasoline,60000.0,338000,autodeal
111,HYUNDAI,H-100,2020,MANUAL,Diesel,36000.0,788000,autodeal
112,TOYOTA,Crown,1989,MANUAL,Gasoline,100000.0,328000,autodeal
113,FORD,Everest,2014,AUTOMATIC,Diesel,104000.0,508000,autodeal
114,MAZDA,CX-9,2009,AUTOMATIC,Gasoline,111000.0,688000,autodeal
115,VOLVO,S60,2002,AUTOMATIC,Gasoline,116000.0,328000,autodeal
116,CHRYSLER,Town & Country,2005,AUTOMATIC,Gasoline,57000.0,358000,autodeal
117,TOYOTA,Camry,2015,AUTOMATIC,Gasoline,79000.0,770000,autodeal
118,TOYOTA,Camry,2002,AUTOMATIC,Gasoline,82000.0,328000,autodeal
119,CHRYSLER,Caravan,1988,AUTOMATIC,Gasoline,56000.0,218000,autodeal
120,MITSUBISHI,Montero,2015,MANUAL,Diesel,65000.0,688000,autodeal
121,MITSUBISHI,Montero,2017,AUTOMATIC,Diesel,44000.0,1028000,autodeal
122,TOYOTA,Hiace,2016,AUTOMATIC,Diesel,0.0,1068000,autodeal
123,FORD,EcoSport,2018,AUTOMATIC,Gasoline,0.0,598000,autodeal
124,TOYOTA,Vios,2019,AUTOMATIC,Gasoline,18000.0,548000,autodeal
125,NISSAN,Navara,2018,AUTOMATIC,Diesel,0.0,988000,autodeal
126,MAZDA,3 Sedan,2017,AUTOMATIC,Gasoline,49000.0,668000,autodeal
127,TOYOTA,Fortuner,2013,AUTOMATIC,Diesel,0.0,788000,autodeal
128,HONDA,City,2016,AUTOMATIC,Gasoline,45000.0,568000,autodeal
129,TOYOTA,Innova,2011,MANUAL,Gasoline,54000.0,498000,autodeal
130,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,75000.0,678000,autodeal
131,SUBARU,Forester,2009,AUTOMATIC,Gasoline,88000.0,458000,autodeal
132,MG,ZS,2020,AUTOMATIC,Gasoline,17000.0,599000,autodeal
133,SUZUKI,Ertiga,2016,MANUAL,Gasoline,55000.0,449000,autodeal
134,FORD,EcoSport,2017,AUTOMATIC,Gasoline,48000.0,509000,autodeal
135,TOYOTA,Wigo,2016,AUTOMATIC,Gasoline,62000.0,329000,autodeal
136,HYUNDAI,Accent,2020,AUTOMATIC,Gasoline,25000.0,499000,autodeal
137,HONDA,Mobilio,2016,AUTOMATIC,Gasoline,59000.0,559000,autodeal
138,FORD,EcoSport,2017,AUTOMATIC,Gasoline,59000.0,519000,autodeal
139,FORD,EcoSport,2017,MANUAL,Gasoline,46000.0,419000,autodeal
140,TOYOTA,Wigo,2016,MANUAL,Gasoline,67000.0,299000,autodeal
141,MITSUBISHI,Mirage,2017,MANUAL,Gasoline,55000.0,309000,autodeal
142,SUZUKI,APV,2018,MANUAL,Gasoline,35000.0,399000,autodeal
143,NISSAN,Almera,2017,MANUAL,Gasoline,53000.0,339000,autodeal
144,SUZUKI,Ertiga,2017,MANUAL,Gasoline,87000.0,459000,autodeal
145,HONDA,City,2018,AUTOMATIC,Gasoline,36000.0,569000,autodeal
146,FORD,Escape,2012,AUTOMATIC,Gasoline,87000.0,319000,autodeal
147,TOYOTA,Fortuner,2018,AUTOMATIC,Diesel,50000.0,1260000,autodeal
148,HYUNDAI,Accent,2019,MANUAL,Diesel,19000.0,429000,autodeal
149,FORD,Everest,2020,AUTOMATIC,Diesel,7000.0,1590000,autodeal
150,HONDA,BR-V,2018,AUTOMATIC,Gasoline,44000.0,699000,autodeal
151,HYUNDAI,Genesis Coupe,2013,AUTOMATIC,Gasoline,30000.0,820000,autodeal
152,FORD,Everest,2017,AUTOMATIC,Diesel,60000.0,970000,autodeal
153,MITSUBISHI,Lancer,2013,AUTOMATIC,Gasoline,31000.0,489000,autodeal
154,TOYOTA,Rush,2019,AUTOMATIC,Gasoline,14000.0,860000,autodeal
155,MITSUBISHI,Montero Sport,2016,AUTOMATIC,Diesel,80000.0,1020000,autodeal
156,TOYOTA,Vios,2017,AUTOMATIC,Gasoline,30000.0,530000,autodeal
157,KIA,Sportage,2017,AUTOMATIC,Diesel,40000.0,880000,autodeal
158,MERCEDES-BENZ,GLC 220D,2018,AUTOMATIC,Diesel,40000.0,2880000,autodeal
159,MITSUBISHI,L300,2017,MANUAL,Diesel,50000.0,590000,autodeal
160,FORD,Ranger,2022,AUTOMATIC,Diesel,30000.0,1180000,autodeal
161,NISSAN,Navara,2018,AUTOMATIC,Diesel,40000.0,890000,autodeal
162,SUZUKI,Ertiga,2016,MANUAL,Gasoline,20000.0,470000,autodeal
163,FORD,Everest,2016,AUTOMATIC,Diesel,60000.0,920000,autodeal
164,MITSUBISHI,Mirage,2015,MANUAL,Gasoline,20000.0,320000,autodeal
165,FORD,Everest,2013,AUTOMATIC,Diesel,60000.0,580000,autodeal
166,TOYOTA,Camry,2015,AUTOMATIC,Gasoline,35000.0,830000,autodeal
167,MITSUBISHI,Adventure,2016,MANUAL,Diesel,50000.0,550000,autodeal
168,TOYOTA,Innova,2013,AUTOMATIC,Diesel,80000.0,650000,autodeal
169,FORD,Territory,2021,AUTOMATIC,Gasoline,19000.0,1130000,autodeal
170,TOYOTA,Hilux,2022,MANUAL,Diesel,5000.0,920000,autodeal
171,MITSUBISHI,L300,2021,MANUAL,Diesel,20000.0,780000,autodeal
172,FORD,Ranger,2019,AUTOMATIC,Diesel,20000.0,1670000,autodeal
173,HONDA,City,2018,AUTOMATIC,Gasoline,30000.0,680000,autodeal
174,HONDA,Civic,2015,AUTOMATIC,Gasoline,40000.0,580000,autodeal
175,HONDA,City,2016,AUTOMATIC,Gasoline,50000.0,480000,autodeal
176,HONDA,City,2018,AUTOMATIC,Gasoline,30000.0,680000,autodeal
177,FORD,Everest,2017,AUTOMATIC,Diesel,50000.0,970000,autodeal
178,TOYOTA,Fortuner,2012,MANUAL,Diesel,70000.0,690000,autodeal
179,HONDA,CR-V,2018,AUTOMATIC,Gasoline,40000.0,1120000,autodeal
180,MERCEDES-BENZ,C200,2017,AUTOMATIC,Gasoline,20000.0,2230000,autodeal
181,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,60000.0,720000,autodeal
182,MITSUBISHI,ASX,2016,AUTOMATIC,Gasoline,40000.0,680000,autodeal
183,MITSUBISHI,Montero Sport,2017,AUTOMATIC,Diesel,60000.0,1130000,autodeal
184,TOYOTA,Hiace,2017,MANUAL,Diesel,80000.0,1230000,autodeal
185,NISSAN,Juke,2018,AUTOMATIC,Gasoline,30000.0,640000,autodeal
186,HONDA,BR-V,2021,AUTOMATIC,Gasoline,19000.0,899000,autodeal
187,SUBARU,XV,2014,AUTOMATIC,Gasoline,87000.0,519000,autodeal
188,SUZUKI,Ertiga,2016,MANUAL,Gasoline,60000.0,449000,autodeal
189,HYUNDAI,Reina,2020,MANUAL,Gasoline,22000.0,399000,autodeal
190,MITSUBISHI,Strada,2019,MANUAL,Diesel,33000.0,869000,autodeal
191,MITSUBISHI,Montero Sport,2013,AUTOMATIC,Diesel,70000.0,680000,autodeal
192,FORD,EcoSport,2016,AUTOMATIC,Gasoline,44000.0,469000,autodeal
193,HONDA,City,2019,AUTOMATIC,Gasoline,33000.0,599000,autodeal
194,FORD,EcoSport,2019,MANUAL,Gasoline,15000.0,539000,autodeal
195,MITSUBISHI,Mirage G4,2020,AUTOMATIC,Gasoline,24000.0,469000,autodeal
196,ISUZU,mu-X,2015,AUTOMATIC,Diesel,0.0,828000,autodeal
197,SUZUKI,Alto 800,2015,MANUAL,Gasoline,32000.0,199000,autodeal
198,HYUNDAI,Accent,2021,AUTOMATIC,Gasoline,17000.0,559000,autodeal
199,FORD,Ranger,2014,AUTOMATIC,Diesel,0.0,698000,autodeal
200,FORD,Ranger,2018,AUTOMATIC,Diesel,41000.0,1049000,autodeal
201,MITSUBISHI,Adventure,2014,MANUAL,Diesel,65000.0,470000,autodeal
202,TOYOTA,Vios,2021,CVT,Gasoline,20000.0,670000,autodeal
203,HONDA,Civic,2012,AUTOMATIC,Gasoline,70000.0,440000,autodeal
204,HONDA,Mobilio,2016,AUTOMATIC,Gasoline,48000.0,545000,autodeal
205,FORD,Everest,2015,AUTOMATIC,Diesel,70000.0,620000,autodeal
206,FORD,Ranger,2014,AUTOMATIC,Diesel,67477.0,728000,autodeal
207,TOYOTA,Rush,2018,AUTOMATIC,Gasoline,68974.0,685000,autodeal
208,FORD,Ranger,2015,AUTOMATIC,Diesel,48000.0,730000,autodeal
209,TOYOTA,Fortuner,2017,MANUAL,Diesel,57000.0,1015000,autodeal
210,TOYOTA,Innova,2009,AUTOMATIC,Gasoline,80000.0,460000,autodeal
211,BMW,X5,2019,AUTOMATIC,Diesel,46607.0,3411525,autodeal
212,TOYOTA,Vios,2021,CVT,Gasoline,14400.0,670000,autodeal
213,HONDA,Jazz,2006,AUTOMATIC,Gasoline,90000.0,290000,autodeal
214,MITSUBISHI,L300,2016,MANUAL,Diesel,60000.0,540000,autodeal
215,ISUZU,Crosswind,2017,MANUAL,Diesel,0.0,668000,autodeal
216,SUZUKI,Dzire,2014,AUTOMATIC,Gasoline,50000.0,360000,autodeal
217,TOYOTA,Fortuner,2008,AUTOMATIC,Gasoline,85000.0,520000,autodeal
218,NISSAN,Almera,2022,CVT,Gasoline,3000.0,828000,autodeal
219,TOYOTA,Fortuner,2017,AUTOMATIC,Diesel,58000.0,1135000,autodeal
220,MITSUBISHI,Adventure,2016,MANUAL,Diesel,54000.0,538000,autodeal
221,HONDA,City,2020,CVT,Gasoline,15345.0,678000,autodeal
222,SUZUKI,Jimny,2017,AUTOMATIC,Gasoline,31000.0,668000,autodeal
223,HYUNDAI,Accent,2017,MANUAL,Gasoline,0.0,368000,autodeal
224,TOYOTA,Vios,2019,CVT,Gasoline,37000.0,638000,autodeal
225,SUZUKI,Celerio,2019,MANUAL,Gasoline,21000.0,368000,autodeal
226,MITSUBISHI,L300,2017,MANUAL,Diesel,0.0,588000,autodeal
227,HYUNDAI,Accent,2018,AUTOMATIC,Diesel,27000.0,518000,autodeal
228,HONDA,BR-V,2017,AUTOMATIC,Gasoline,38000.0,668000,autodeal
229,SUZUKI,Swift,2018,AUTOMATIC,Gasoline,31000.0,478000,autodeal
230,FOTON,Gratour,2019,MANUAL,Gasoline,45000.0,398000,autodeal
231,NISSAN,Navara,2020,AUTOMATIC,Diesel,19000.0,1218000,autodeal
232,MITSUBISHI,Montero Sport,2018,AUTOMATIC,Diesel,57000.0,1198000,autodeal
233,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,34000.0,788000,autodeal
234,CHEVROLET,Trailblazer,2019,AUTOMATIC,Diesel,23000.0,998000,autodeal
235,TOYOTA,Vios,2020,AUTOMATIC,Gasoline,0.0,698000,autodeal
236,MG,ZS,2020,AUTOMATIC,Gasoline,0.0,668000,autodeal
237,MITSUBISHI,Adventure,2017,MANUAL,Diesel,59000.0,488000,autodeal
238,MITSUBISHI,Montero Sport,2017,AUTOMATIC,Diesel,40000.0,999000,autodeal
239,ISUZU,Crosswind,2017,MANUAL,Diesel,0.0,578000,autodeal
240,MITSUBISHI,Strada,2016,AUTOMATIC,Diesel,0.0,778000,autodeal
241,MITSUBISHI,Mirage,2018,MANUAL,Gasoline,30000.0,379000,autodeal
242,TOYOTA,Hiace,2021,MANUAL,Diesel,7000.0,1119000,autodeal
243,TOYOTA,Vios,2018,AUTOMATIC,Gasoline,40000.0,449000,autodeal
244,MITSUBISHI,L300,2018,MANUAL,Diesel,40000.0,525000,autodeal
245,MITSUBISHI,Pajero,2012,AUTOMATIC,Gasoline,71000.0,798000,autodeal
246,FORD,Escape,2012,AUTOMATIC,Gasoline,71000.0,348000,autodeal
247,HONDA,CR-V,2014,AUTOMATIC,Gasoline,59000.0,618000,autodeal
248,TOYOTA,Hilux,2013,MANUAL,Diesel,38000.0,748000,autodeal
249,TOYOTA,Vios,2020,AUTOMATIC,Gasoline,25000.0,558000,autodeal
250,KIA,Sportage,2012,AUTOMATIC,Diesel,75000.0,508000,autodeal
251,FORD,Ranger,2019,AUTOMATIC,Diesel,31000.0,1638000,autodeal
252,FORD,Ranger,2020,AUTOMATIC,Diesel,11000.0,1198000,autodeal
253,TOYOTA,Vios,2022,AUTOMATIC,Gasoline,4594.0,720000,autodeal
254,TOYOTA,Rush,2019,AUTOMATIC,Gasoline,23000.0,848000,autodeal
255,MITSUBISHI,L300,2017,MANUAL,Diesel,0.0,548000,autodeal
256,TOYOTA,Innova,2017,MANUAL,Diesel,41000.0,750000,autodeal
257,HYUNDAI,Sonata,2012,AUTOMATIC,Gasoline,53000.0,438000,autodeal
258,MITSUBISHI,Montero Sport,2018,AUTOMATIC,Diesel,35212.0,1228000,autodeal
259,TOYOTA,Vios,2021,CVT,Gasoline,7151.0,590000,autodeal
260,TOYOTA,Vios,2022,AUTOMATIC,Gasoline,4389.0,720000,autodeal
261,HYUNDAI,Grand Starex,2012,AUTOMATIC,Diesel,80000.0,590000,autodeal
262,TOYOTA,Fortuner,2021,AUTOMATIC,Diesel,13381.0,1850000,autodeal
263,TOYOTA,Vios,2019,AUTOMATIC,Gasoline,15000.0,540000,autodeal
264,TOYOTA,Wigo,2021,AUTOMATIC,Gasoline,27526.0,530000,autodeal
265,TOYOTA,Fortuner,2021,AUTOMATIC,Diesel,10000.0,1519000,autodeal
266,MITSUBISHI,Strada,2019,MANUAL,Diesel,30000.0,869000,autodeal
267,TOYOTA,Hiace,2021,MANUAL,Diesel,10000.0,1099000,autodeal
268,TOYOTA,Rush,2021,AUTOMATIC,Gasoline,10000.0,899000,autodeal
269,TOYOTA,Fortuner,2022,AUTOMATIC,Diesel,6000.0,1649000,autodeal
270,NISSAN,Almera,2020,MANUAL,Gasoline,20000.0,389000,autodeal
271,MITSUBISHI,L300,2022,MANUAL,Diesel,20000.0,839000,autodeal
272,NISSAN,Navara,2018,AUTOMATIC,Diesel,30000.0,815000,autodeal
273,MITSUBISHI,Mirage G4,2018,MANUAL,Gasoline,40000.0,319000,autodeal
274,HONDA,CR-V,2014,AUTOMATIC,Gasoline,50000.0,639000,autodeal
275,MITSUBISHI,Xpander,2019,AUTOMATIC,Gasoline,20000.0,769000,autodeal
276,TOYOTA,Fortuner,2020,AUTOMATIC,Diesel,20000.0,1329000,autodeal
277,MITSUBISHI,Mirage G4,2016,AUTOMATIC,Gasoline,90000.0,349000,autodeal
278,TOYOTA,Innova,2020,MANUAL,Diesel,20000.0,899000,autodeal
279,MITSUBISHI,Mirage G4,2018,AUTOMATIC,Gasoline,20000.0,325000,autodeal
280,SUZUKI,Ertiga,2018,MANUAL,Gasoline,39000.0,518000,autodeal
281,HONDA,Civic,2018,AUTOMATIC,Gasoline,38000.0,828000,autodeal
282,KIA,Soul,2014,AUTOMATIC,Gasoline,58000.0,438000,autodeal
283,MITSUBISHI,Montero Sport,2016,AUTOMATIC,Diesel,39000.0,1198000,autodeal
284,TOYOTA,Hilux,2015,MANUAL,Diesel,54000.0,748000,autodeal
285,MAZDA,3 Sedan,2012,AUTOMATIC,Gasoline,67000.0,338000,autodeal
286,MITSUBISHI,L300,2017,MANUAL,Diesel,50000.0,628000,autodeal
287,HYUNDAI,Tucson,2016,AUTOMATIC,Diesel,46000.0,738000,autodeal
288,MITSUBISHI,L300,2018,MANUAL,Diesel,40000.0,525000,autodeal
289,TOYOTA,Avanza,2020,MANUAL,Gasoline,30000.0,599000,autodeal
290,NISSAN,Urvan,2020,MANUAL,Diesel,20000.0,929000,autodeal
291,FORD,Ranger,2018,AUTOMATIC,Diesel,0.0,988000,autodeal
292,NISSAN,Navara,2020,AUTOMATIC,Diesel,20000.0,899000,autodeal
293,HONDA,City,2022,AUTOMATIC,Gasoline,10000.0,939000,autodeal
294,FORD,Explorer,2013,AUTOMATIC,Gasoline,0.0,728000,autodeal
295,CHEVROLET,Trailblazer,2014,AUTOMATIC,Diesel,0.0,738000,autodeal
296,TOYOTA,Camry,2013,AUTOMATIC,Gasoline,0.0,638000,autodeal
297,FORD,Ranger,2015,AUTOMATIC,Diesel,0.0,728000,autodeal
298,MAZDA,3 Sedan,2015,AUTOMATIC,Gasoline,45000.0,568000,autodeal
299,HYUNDAI,Accent,2018,MANUAL,Diesel,27000.0,488000,autodeal
300,FORD,Explorer,2013,AUTOMATIC,Gasoline,60000.0,818000,autodeal
301,MITSUBISHI,Montero Sport,2016,AUTOMATIC,Diesel,82000.0,1028000,autodeal
302,HONDA,HR-V,2016,CVT,Gasoline,51000.0,688000,autodeal
303,MITSUBISHI,Montero Sport,2016,AUTOMATIC,Diesel,50000.0,998000,autodeal
304,TOYOTA,Corolla Altis,2018,AUTOMATIC,Gasoline,45000.0,748000,autodeal
305,HONDA,Mobilio,2015,AUTOMATIC,Gasoline,74000.0,558000,autodeal
306,MERCEDES-BENZ,A 250,2013,AUTOMATIC,Gasoline,37000.0,1148000,autodeal
307,HYUNDAI,Accent,2013,AUTOMATIC,Diesel,62000.0,398000,autodeal
308,TOYOTA,Vios,2017,MANUAL,Gasoline,18000.0,388000,autodeal
309,HONDA,Mobilio,2016,AUTOMATIC,Gasoline,54000.0,559000,autodeal
310,CHEVROLET,Trailblazer,2015,AUTOMATIC,Diesel,0.0,758000,autodeal
311,CHEVROLET,Trailblazer,2016,AUTOMATIC,Diesel,56000.0,708000,autodeal
312,NISSAN,Juke,2016,AUTOMATIC,Gasoline,44000.0,549000,autodeal
313,NISSAN,Almera,2018,AUTOMATIC,Gasoline,27000.0,419000,autodeal
314,MITSUBISHI,Adventure,2017,MANUAL,Diesel,62000.0,479000,autodeal
315,HYUNDAI,Elantra,2016,AUTOMATIC,Gasoline,46000.0,429000,autodeal
316,HONDA,Mobilio,2016,AUTOMATIC,Gasoline,33000.0,569000,autodeal
317,MITSUBISHI,Mirage G4,2019,AUTOMATIC,Gasoline,30000.0,425000,autodeal
318,TOYOTA,Vios,2017,AUTOMATIC,Gasoline,30000.0,449000,autodeal
319,NISSAN,Urvan NV350,2022,MANUAL,Diesel,7000.0,1188000,autodeal
320,MITSUBISHI,L300,2020,MANUAL,Diesel,60000.0,798000,autodeal
321,TOYOTA,Vios,2022,AUTOMATIC,Gasoline,3000.0,669000,autodeal
322,TOYOTA,Hilux,2020,MANUAL,Diesel,10000.0,1019000,autodeal
